N,종목명,현재가,전일비,등락률,액면가,자산총계,영업이익,매출액증가율
72.0,GS,45750.0,150.0,+0.33%,5000.0,311913.0,26403.0,31.05
73.0,넷마블,49400.0,1700.0,-3.33%,100.0,106638.0,1510.0,0.89
74.0,현대제철,31750.0,200.0,-0.63%,5000.0,370423.0,24475.0,26.78
75.0,코웨이,56200.0,200.0,-0.35%,500.0,38006.0,6402.0,13.19
76.0,한국타이어앤테크놀로지,33350.0,100.0,+0.30%,500.0,117039.0,6422.0,10.66
77.0,SK아이이테크놀로지,57600.0,2200.0,-3.68%,1000.0,31845.0,892.0,28.65
78.0,금호석유,137500.0,2500.0,-1.79%,5000.0,81157.0,24068.0,75.94
79.0,미래에셋증권,6470.0,50.0,+0.78%,5000.0,1086418.0,14855.0,-21.92
80.0,현대건설,35150.0,250.0,-0.71%,5000.0,196373.0,7535.0,6.45
81.0,TIGER CD금리투자KIS(합성),51620.0,5.0,+0.01%,0.0,,,
82.0,삼성카드,32450.0,0.0,0.00%,5000.0,271442.0,7493.0,6.56
83.0,BGF리테일,213000.0,1000.0,+0.47%,1000.0,25964.0,1994.0,9.71
84.0,메리츠증권,5980.0,150.0,+2.57%,1000.0,541082.0,9489.0,40.0
85.0,한화에어로스페이스,72300.0,600.0,+0.84%,5000.0,110458.0,3830.0,20.55
86.0,SKC,96300.0,3600.0,-3.60%,5000.0,61801.0,4647.0,37.72
87.0,두산밥캣,36000.0,100.0,-0.28%,500.0,85809.0,5953.0,35.83
88.0,한미약품,290000.0,500.0,-0.17%,2500.0,19367.0,1254.0,11.84
89.0,현대미포조선,86000.0,500.0,-0.58%,5000.0,38783.0,-2173.0,3.41
90.0,한국가스공사,36550.0,400.0,-1.08%,5000.0,436699.0,12397.0,32.1
91.0,롯데지주,31900.0,300.0,-0.93%,200.0,199219.0,2164.0,9.23
92.0,에스디바이오센서,31500.0,1550.0,-4.69%,500.0,30051.0,13640.0,73.77
93.0,한국금융지주,57900.0,200.0,-0.34%,5000.0,820366.0,15210.0,-16.51
94.0,NH투자증권,9500.0,70.0,-0.73%,5000.0,585420.0,12939.0,-15.71
95.0,호텔신라,79300.0,400.0,+0.51%,5000.0,26564.0,1188.0,18.54
96.0,KODEX KOFR금리액티브(합성),101585.0,10.0,+0.01%,0.0,,,
97.0,삼성증권,34550.0,200.0,+0.58%,5000.0,657075.0,13087.0,-10.84
98.0,팬오션,5690.0,190.0,-3.23%,1000.0,64888.0,5729.0,84.85
99.0,씨에스윈드,71400.0,3100.0,-4.16%,500.0,17739.0,1010.0,24.18
100.0,GS리테일,28750.0,100.0,-0.35%,1000.0,94560.0,2085.0,10.19
101.0,쌍용C&E,5930.0,20.0,-0.34%,100.0,35648.0,2487.0,12.96
102.0,현대로템,27300.0,300.0,-1.09%,5000.0,41072.0,802.0,3.13
103.0,TIGER 차이나전기차SOLACTIVE,12275.0,435.0,-3.42%,0.0,,,
104.0,포스코인터내셔널,23700.0,300.0,+1.28%,5000.0,107707.0,5854.0,58.11
105.0,현대차2우B,79700.0,200.0,-0.25%,5000.0,,,
106.0,이마트,101500.0,1600.0,+1.60%,5000.0,312421.0,3168.0,13.16
107.0,현대오토에버,100000.0,500.0,-0.50%,500.0,23461.0,961.0,32.5
108.0,제일기획,23800.0,50.0,-0.21%,200.0,25421.0,2482.0,21.03
109.0,아모레G,33100.0,300.0,-0.90%,500.0,80381.0,3562.0,8.03
110.0,현대해상,30400.0,0.0,0.00%,500.0,528180.0,6393.0,6.39
111.0,한진칼,38900.0,500.0,-1.27%,2500.0,37547.0,-1952.0,-3.31
112.0,일진머티리얼즈,55300.0,1000.0,-1.78%,500.0,17536.0,699.0,28.31
113.0,동원산업,50500.0,1000.0,+2.02%,1000.0,30519.0,2607.0,-1.93
114.0,롯데쇼핑,87500.0,400.0,-0.46%,5000.0,334265.0,2076.0,-3.77
115.0,KODEX 200선물인버스2X,3265.0,55.0,+1.71%,0.0,,,
116.0,BNK금융지주,7290.0,20.0,+0.28%,5000.0,1282870.0,10920.0,7.07
117.0,에스원,62300.0,100.0,-0.16%,500.0,19730.0,1797.0,4.01
